name,socket,form,memory_max,memory_slots,memory_type,m.2_slots
AMOG H110,LGA1151,Micro ATX,32,2,DDR3,0
ARKTEK G41,LGA775,ATX,4,2,DDR3,0
ARKTEK G41M,LGA775,Micro-ATX,4,2,DDR3,0
ARKTEK H61,LGA1155,ATX,,2,DDR3,0
ARKTEK H61M,LGA1155,Micro-ATX,,2,DDR3,0
ARKTEK H81,LGA1150,ATX,16,2,DDR3,1
ARKTEK H81M,LGA1150,Micro-ATX,16,2,DDR3,1
ASRock A620AM-HVS,AM5,Micro ATX,128,2,DDR5,2
ASRock A620M Pro RS,AM5,Micro ATX,256,4,DDR5,3
ASRock B550 Phantom Gaming 4,AM4,ATX,128,4,DDR4,2
ASRock B550 Pro4,AM4,ATX,128,4,DDR4,2
ASRock B650 PG LIGHTNING,AM5,ATX,256,4,DDR5,3
ASRock B650 Steel Legend,AM5,ATX,256,4,DDR5,3
ASRock B650M Pro RS,AM5,Micro ATX,256,4,DDR5,3
ASRock B650M-HDV/M.2,AM5,Micro ATX,96,2,DDR5,2
ASRock B760 Pro RS,LGA1700,ATX,192,4,DDR5,3
ASRock B860 Pro RS WiFi,LGA1851,ATX,256,4,DDR5,3
ASRock H310CM-DVS,LGA1151,Micro ATX,32,2,DDR4,0
ASRock H470M-HDV,LGA1200,Micro ATX,64,2,DDR4,0
ASRock H510M,LGA1200,Micro ATX,64,2,DDR4,0
ASRock H510M-H2/M.2 SE,LGA1200,Micro ATX,64,2,DDR4,1
ASRock H510M-HDV R2.0,LGA1200,Micro ATX,64,2,DDR4,0
ASRock H510M-HDV/M.2,LGA1200,Micro ATX,64,2,DDR4,1
ASRock H510M-HDV/M.2 SE,LGA1200,Micro ATX,64,2,DDR4,1
ASRock H510M-HVS,LGA1200,Micro ATX,64,2,DDR4,0
ASRock H610M-HDV,LGA1700,Micro ATX,64,2,DDR4,0
ASRock H810M-X WiFi,LGA1851,Micro ATX,128,2,DDR5,1
ASRock Z790 LiveMixer,LGA1700,ATX,256,4,DDR5,5
ASRock X870 Pro RS WiFi,AM5,ATX,256,4,DDR5,3
ASRock X870 Steel Legend,AM5,ATX,256,4,DDR5,2
ASRock X870 Steel Legend WiFi,AM5,ATX,256,4,DDR5,2
ASRock Z790 PG Lightning,LGA1700,ATX,256,4,DDR5,4
ASRock Z790 Pro RS,LGA1700,ATX,256,4,DDR5,4
ASUS TUF GAMING A520M-PLUS,AM4,Micro ATX,128,4,DDR4,1
ASUS A620M-F GAMING WiFi,AM5,Micro ATX,128,2,DDR4,2
ASUS B650E MAX GAMING WIFI,AM5,ATX,192,4,DDR5,3
ASUS B650E MAX GAMING WiFi W,AM5,ATX,256,4,DDR5,3
ASUS PRIME A520M-R,AM4,Micro ATX,64,2,DDR4,1
ASUS PRIME B450-PLUS,AM4,ATX,64,4,DDR4,1
ASUS PRIME B650M-A WiFi II,AM5,Micro ATX,192,4,DDR5,2
ASUS PRIME B650M-R,AM5,Micro ATX,96,2,DDR5,2
ASUS PRIME B660M-K D4,LGA1700,Micro ATX,64,2,DDR4,2
ASUS PRIME B840-PLUS WiFi,AM5,ATX,192,4,DDR5,3
ASUS B850 MAX GAMING WiFi,AM5,ATX,256,4,DDR5,3
ASUS B860M MAX GAMING AX,LGA1851,Micro ATX,256,4,DDR5,3
ASUS B860M MAX GAMING AX WiFi,LGA1851,Micro ATX,256,4,DDR5,3
ASUS A620M-F GAMING WiFi,AM5,Micro ATX,128,2,DDR5,2
ASUS ROG STRIX B550-A GAMING,AM4,ATX,128,4,DDR4,2
