name,core_count,thread_count,base_clock,boost_clock,tdp,l1_cache,l2_cache,l3_cache,socket,memory_support,integrated_gpu
AMD Ryzen 3 1200,4,4,3.1,3.4,65,384,2,8,AMD Socket AM4,DDR4,
AMD Ryzen 3 3100,4,8,3.6,3.9,65,256,2,16,AMD Socket AM4,DDR4,
AMD Ryzen 3 3200G,4,4,3.6,4,65,384,2,4,AMD Socket AM4,DDR4,Radeon Vega 8
AMD Ryzen 3 3300X,4,8,3.8,4.3,65,256,2,16,AMD Socket AM4,DDR4,
AMD Ryzen 3 4100,4,8,3.8,4,65,256,2,8,AMD Socket AM4,DDR4,
AMD Ryzen 3 5300G,,,,,,,,,,,Radeon Vega 6
AMD Ryzen 3 PRO 4350G,,,,,,,,,,,Radeon Vega 6
AMD Ryzen 5 1600,,,,,,,,,,,
AMD Ryzen 5 1600 AF,6,12,3.2,3.6,65,576,3,16,AMD Socket AM4,DDR4,
AMD Ryzen 5 220,,,,,,,,,,,Radeon 740M
AMD Ryzen 5 2600X,6,12,3.6,4.25,95,576,3,16,AMD Socket AM4,DDR4,
AMD Ryzen 5 3400G,4,8,3.7,4.2,65,384,2,4,AMD Socket AM4,DDR4,Radeon Vega 11
AMD Ryzen 5 3400GE,4,8,3.3,4,35,384,2,4,AMD Socket AM4,DDR4,Radeon Vega 11
AMD Ryzen 5 3500X,6,6,3.6,4.1,65,384,3,32,AMD Socket AM4,DDR4,
AMD Ryzen 5 3600,6,12,3.6,4.2,65,384,3,32,AMD Socket AM4,DDR4,
AMD Ryzen 5 3600X,6,12,3.8,4.4,95,384,3,32,AMD Socket AM4,DDR4,
AMD Ryzen 5 4500,6,12,3.6,4.1,65,384,3,8,AMD Socket AM4,DDR4,
AMD Ryzen 5 4600G,6,12,3.7,4.2,65,384,3,8,AMD Socket AM4,DDR4,
AMD Ryzen 5 5500,6,12,3.6,4.2,65,384,3,16,AMD Socket AM4,DDR4,
AMD Ryzen 5 5500GT,6,12,3.6,4.4,65,384,3,16,AMD Socket AM4,DDR4,Radeon Vega 7
AMD Ryzen 5 5600,6,12,3.5,4.4,65,384,3,32,AMD Socket AM4,DDR4,
AMD Ryzen 5 5600G,6,12,3.9,4.4,65,384,3,16,AMD Socket AM4,DDR4,Radeon Vega 7
AMD Ryzen 5 5600GT,6,12,3.6,4.6,65,384,3,16,AMD Socket AM4,DDR4,Radeon Vega 7
AMD Ryzen 5 5600X,6,12,3.7,4.6,65,384,3,32,AMD Socket AM4,DDR4,
AMD Ryzen 5 7400F,6,12,3.7,4.7,65,384,6,32,AMD Socket AM5,DDR5,
