name,memory_size,transistors,bus_interface,base_clock,boost_clock,memory_type,memory_bus,memory_bandwidth,cores,tensor_cores,rt_cores,t_flops,tdp
Arc B570,10,19.6,PCIe 4.0 x8,2500,2500,GDDR6,160,380,2304,144,18,11.250,150
Arc B580,12,19.6,PCIe 4.0 x8,2670,2670,GDDR6,192,456,2560,160,20,13.670,190
,,,,,,,,,,,,,
GeForce GT 610,1,0.3,PCIe 2.0 x16,810,,DDR3,64,14,48,0,0,0.155,29
GeForce GT 610,2,0.6,PCIe 2.0 x16,701,,DDR3,64,8,48,0,0,0.134,29
GeForce GT 630,1,0.6,PCIe 2.0 x16,810,,DDR3,128,28.8,96,0,0,0.311,65
GeForce GT 630,2,1.0,PCIe 2.0 x8,902,,DDR3,64,14.4,384,0,0,0.692,25
GeForce GT 710,2,1.0,PCIe 2.0 x8,954,,DDR3,64,14.4,192,0,0,0.366,19
GeForce GT 730,2,0.6,PCIe 2.0 x16,700,,DDR3,128,25.6,96,0,0,0.268,49
GeForce GT 730,4,0.6,PCIe 2.0 x16,700,,DDR3,128,17,96,0,0,0.268,49
,,,,,,,,,,,,,
GeForce GT 1030,2,1.8,PCIe 3.0 x4,1228,1468,GDDR5,64,48.06,384,0,0,1.127,30
GeForce GTX 750 Ti,2,1.8,PCIe 3.0 x16,1020,1085,GDDR5,128,86,640,0,0,1.388,60
GeForce GTX 950,2,2.9,PCIe 3.0 x16,1024,1188,GDDR5,128,105.8,768,0,0,1.825,90
GeForce GTX 1050,2,3.3,PCIe 3.0 x16,1354,1455,GDDR5,128,112.1,640,0,0,1.862,75
GeForce GTX 1050 Ti,4,3.3,PCIe 3.0 x16,1291,1392,GDDR5,128,112.1,768,0,0,2.138,75
GeForce GTX 1060,3,4.4,PCIe 3.0 x16,1506,1708,GDDR5,192,192.2,1152,0,0,3.945,120
GeForce GTX 1070,8,7.2,PCIe 3.0 x16,1506,1683,GDDR5,256,256.3,1920,0,0,6.463,150
GeForce GTX 1070 Ti,8,7.2,PCIe 3.0 x16,1506,1683,GDDR5,256,256.3,2432,0,0,8.186,180
GeForce GTX 1080,8,7.2,PCIe 3.0 x16,1607,1733,GDDR5X,256,320.3,2560,0,0,8.873,180
GeForce GTX 1080 Ti,11,11.8,PCIe 3.0 x16,1481,1582,GDDR5X,352,484.4,3584,0,0,11.340,250
GeForce GTX 1650,4,4.7,PCIe 3.0 x16,1410,1590,GDDR6,128,192,896,0,0,2.849,75
GeForce GTX 1660,6,6.6,PCIe 3.0 x16,1530,1785,GDDR5,192,192.1,1408,0,0,5.027,120
GeForce GTX 1660 SUPER,6,6.6,PCIe 3.0 x16,1530,1785,GDDR6,192,336,1408,0,0,5.027,125
GeForce GTX 1660 Ti,6,6.6,PCIe 3.0 x16,1500,1770,GDDR6,192,288,1536,0,0,5.437,120
,,,,,,,,,,,,,
NVIDIA RTX A1000,8,8.7,PCIe 4.0 x8,727,1462,GDDR6,128,192,2304,72,18,6.737,50
NVIDIA RTX A2000,6,12.0,PCIe 4.0 x16,562,1200,GDDR6,192,288,3328,104,26,7.987,70
NVIDIA RTX A3000,6,17.4,PCIe 4.0 x16,600,1230,GDDR6,192,264,4096,128,32,10.080,70
NVIDIA RTX 2000,16,18.9,PCIe 4.0 x8,1620,2130,GDDR6,128,256,2816,88,22,12.000,70
NVIDIA RTX A400,4,8.7,PCIe 4.0 x8,1417,1762,GDDR6,64,96,768,24,6,2.706,50
NVIDIA RTX 500,4,18.9,PCIe 4.0 x8,1485,2025,GDDR6,64,128,2048,64,16,8.294,35
,,,,,,,,,,,,,
GeForce RTX 2050,4,8.7,PCIe 3.0 x8,735,1245,GDDR6,64,112,2048,64,32,5.100,30
GeForce RTX 2060,6,10.8,PCIe 3.0 x16,1365,1680,GDDR6,192,336,1920,240,30,6.451,160
GeForce RTX 2060,12,10.8,PCIe 3.0 x16,1470,1650,GDDR6,192,336,2176,272,34,7.181,184
GeForce RTX 2060 SUPER,8,10.8,PCIe 3.0 x16,1470,1650,GDDR6,256,448,2176,272,34,7.181,175
GeForce RTX 2070,8,10.8,PCIe 3.0 x16,1410,1620,GDDR6,256,448,2304,288,36,7.465,175
GeForce RTX 2070 SUPER,8,13.6,PCIe 3.0 x16,1605,1770,GDDR6,256,448,2560,320,40,9.062,215
GeForce RTX 2080,8,13.6,PCIe 3.0 x16,1515,1710,GDDR6,256,448,2944,368,46,10.070,215
GeForce RTX 2080 SUPER,8,13.6,PCIe 3.0 x16,1650,1815,GDDR6,256,495.9,3072,384,48,11.150,250
GeForce RTX 2080 Ti,11,18.6,PCIe 3.0 x16,1350,1545,GDDR6,352,616,4352,544,68,13.450,250
GeForce RTX 3050,6,8.7,PCIe 4.0 x8,1042,1470,GDDR6,96,168,2304,72,18,6.774,70
GeForce RTX 3050,8,12.0,PCIe 4.0 x8,1552,1777,GDDR6,128,224,2560,80,20,9.098,130
GeForce RTX 3050 Ti,4,,,,,,,,,,,,
GeForce RTX 3060,8,12.0,PCIe 4.0 x16,1320,1777,GDDR6,128,240,3584,112,28,12.740,170
GeForce RTX 3060,12,12.0,PCIe 4.0 x16,1320,1777,GDDR6,192,360,3584,112,28,12.740,170
GeForce RTX 3060 Ti,8,17.4,PCIe 4.0 x16,1410,1665,GDDR6,256,448,4864,152,38,16.200,200
GeForce RTX 3070,8,17.4,PCIe 4.0 x16,1500,1725,GDDR6,256,448,5888,184,46,20.310,220
GeForce RTX 3070 Ti,8,17.4,PCIe 4.0 x16,1575,1770,GDDR6X,256,608.3,6144,192,48,21.750,290
GeForce RTX 3070 Ti,16,17.4,PCIe 4.0 x16,1575,1770,GDDR6X,256,608.3,6144,192,48,21.750,290
GeForce RTX 3080,10,28.3,PCIe 4.0 x16,1440,1710,GDDR6X,320,760.3,8704,272,68,29.770,320
GeForce RTX 3080,12,28.3,PCIe 4.0 x16,1260,1710,GDDR6X,384,912.4,8960,280,70,30.640,350
GeForce RTX 3080 Ti,12,28.3,PCIe 4.0 x16,1365,1665,GDDR6X,384,912.4,10240,320,80,34.100,350
GeForce RTX 3080 Ti,20,28.3,PCIe 4.0 x16,1335,1665,GDDR6X,320,760.3,10240,320,80,34.100,350
GeForce RTX 3090,24,28.3,PCIe 4.0 x16,1395,1695,GDDR6X,384,936.2,10496,328,82,35.580,350
GeForce RTX 3090 Ti,24,28.3,PCIe 4.0 x16,1560,1860,GDDR6X,384,1010,10752,336,84,40.000,450
GeForce RTX 4050,6,18.9,PCIe 4.0 x8,1455,1755,GDDR6,96,192,2560,80,20,8.986,50
GeForce RTX 4060,8,18.9,PCIe 4.0 x8,1830,2460,GDDR6,128,272,3072,96,24,15.110,115
GeForce RTX 4060 Ti,8,22.9,PCIe 4.0 x8,2310,2535,GDDR6,128,288,4352,136,34,22.060,160
GeForce RTX 4060 Ti,16,22.9,PCIe 4.0 x8,2310,2535,GDDR6,128,288,4352,136,34,22.060,165
GeForce RTX 4070,12,35.8,PCIe 4.0 x16,1920,2475,GDDR6,192,480,5888,184,46,29.150,200
GeForce RTX 4070 SUPER,12,35.8,PCIe 4.0 x16,1980,2475,GDDR6X,192,504.2,7168,224,56,35.480,220
GeForce RTX 4070 Ti,12,35.8,PCIe 4.0 x16,2310,2610,GDDR6X,192,504.2,7680,240,60,40.090,285
GeForce RTX 4070 Ti SUPER,16,45.9,PCIe 4.0 x16,2340,2610,GDDR6X,256,672.3,8448,264,66,44.100,285
GeForce RTX 4080,16,45.9,PCIe 4.0 x16,2205,2505,GDDR6X,256,716.8,9728,304,76,48.740,320
GeForce RTX 4080 SUPER,16,45.9,PCIe 4.0 x16,2295,2550,GDDR6X,256,736.3,10240,320,80,52.220,320
GeForce RTX 4090,24,76.3,PCIe 4.0 x16,2235,2520,GDDR6X,384,1010,16384,512,128,82.580,450
GeForce RTX 5050,8,16.9,PCIe 5.0 x8,2317,2572,GDDR6,128,320,2560,80,20,13.170,130
GeForce RTX 5060,8,21.9,PCIe 5.0 x8,2280,2497,GDDR7,128,448,3840,120,30,19.180,145
GeForce RTX 5060 Ti,8,21.9,PCIe 5.0 x8,2407,2572,GDDR7,128,448,4608,144,36,23.700,180
GeForce RTX 5060 Ti,16,21.9,PCIe 5.0 x8,2407,2572,GDDR7,128,448,4608,144,36,23.700,180
GeForce RTX 5070,12,31.1,PCIe 5.0 x16,2325,2512,GDDR7,192,672,6144,192,48,30.870,250
GeForce RTX 5070 SUPER,18,31.1,PCIe 5.0 x16,2325,2497,GDDR7,192,672,6400,200,50,31.960,275
GeForce RTX 5070 Ti,16,45.6,PCIe 5.0 x16,2295,2452,GDDR7,256,896,8960,280,70,43.940,300
GeForce RTX 5070 Ti SUPER,16,45.6,PCIe 5.0 x16,2295,2452,GDDR7,256,896,8960,280,70,43.940,350
GeForce RTX 5080,16,45.6,PCIe 5.0 x16,2295,2617,GDDR7,256,960,10752,336,84,56.280,360
GeForce RTX 5080 SUPER,24,45.6,PCIe 5.0 x16,2295,2617,GDDR7,256,1020,10752,336,84,56.280,415
GeForce RTX 5090,32,92.2,PCIe 5.0 x16,2017,2407,GDDR7,512,1790,21760,680,170,104.800,575
,,,,,,,,,,,,,
Radeon Vega 6,,4.9,,300,1101,,,,384,0,0,0.845,15
Radeon Vega 8,,4.9,,300,1250,,,,512,0,0,1.280,15
Radeon Vega 11,,4.9,,300,1400,,,,704,0,0,1.971,15
Radeon Vega 7,,9.8,,300,1900,,,,448,0,0,1.702,45
,,,,,,,,,,,,,
Radeon RX 580,8,5.7,PCIe 3.0 x16,1257,1340,GDDR5,256,256,2304,0,0,6.175,185
Radeon RX 6500 XT,4,5.4,PCIe 4.0 x4,2310,2815,GDDR6,64,143.9,1024,0,16,5.765,107
Radeon RX 6600,8,11.1,PCIe 4.0 x8,1626,2491,GDDR6,128,224,1792,0,28,8.928,132
Radeon RX 6600 XT,8,11.1,PCIe 4.0 x8,1968,2589,GDDR6,128,256,2048,0,32,10.600,160
Radeon RX 6650 XT,8,11.1,PCIe 4.0 x8,2055,2635,GDDR6,128,280.3,2048,0,32,10.790,176
Radeon RX 6700,10,17.2,PCIe 4.0 x16,1941,2450,GDDR6,160,320,2304,0,36,11.290,175
