name,base_clock,boost_clock,memory_size,memory_type,memory_bus,memory_bandwidth,bus_interface,transistors,cores,tensor_cores,rt_cores,t_flops,tdp
Radeon Vega 8,300,1250,N/A,N/A,N/A,N/A,N/A,4.9,512,0,0,1.280,15
Radeon Vega 11,300,1400,N/A,N/A,N/A,N/A,N/A,4.9,704,0,0,1.971,15
Radeon Vega 7,300,1900,N/A,N/A,N/A,N/A,N/A,9.8,448,0,0,1.702,45
Radeon RX 9060 XT 8 GB,1700,3130,8,GDDR6,128,322,PCIe 5.0 x16,29.7,2048,64,32,25.640,150
Radeon RX 9060 XT 16 GB,1700,3130,16,GDDR6,128,322,PCIe 5.0 x16,29.7,2048,64,32,25.640,160
Radeon RX 7700 XT 12 GB,1435,2544,12,GDDR6,192,432,PCIe 4.0 x16,28.1,3456,108,54,35.170,245
GeForce GTX 1650 4 GB,1410,1590,4,GDDR6,128,192,PCIe 3.0 x16,4.7,896,0,0,2.849,75
GeForce RTX 3050 6 GB,1042,1470,6,GDDR6,96,168,PCIe 4.0 x8,8.7,2304,72,18,6.774,70
GeForce RTX 3050 8 GB,1552,1777,8,GDDR6,128,224,PCIe 4.0 x8,12.0,2560,80,20,9.098,130
GeForce RTX 5050 8 GB,2317,2572,8,GDDR6,128,320,PCIe 5.0 x8,16.9,2560,80,20,13.170,130
GeForce RTX 5060 8 GB,2280,2497,8,GDDR7,128,448,PCIe 5.0 x8,21.9,3840,120,30,19.180,145
GeForce RTX 5060 Ti 8 GB,2407,2572,8,GDDR7,128,448,PCIe 5.0 x8,21.9,4608,144,36,23.700,180
GeForce RTX 5070 12 GB,2325,2512,12,GDDR7,192,672,PCIe 5.0 x16,31.1,6144,192,48,30.870,250
GeForce RTX 5070 Ti 16 GB,2295,2452,16,GDDR7,256,896,PCIe 5.0 x16,45.6,8960,280,70,43.940,300
GeForce RTX 5080 16 GB,2295,2617,16,GDDR7,256,960,PCIe 5.0 x16,45.6,10752,336,84,56.280,360
GeForce RTX 5090 32 GB,2017,2407,32,GDDR7,512,1790,PCIe 5.0 x16,92.2,21760,680,170,104.800,575
